QuestionText,Option0,Option1,Option2,Option3,CorrectOptionIndex,ExplanationText
Which part of the vestibular apparatus is responsible for the impression of angular acceleration?,The cochlea,The semicircular canals,The eustachian tube,The sacculus and utriculus,1,"The semicircular canals are responsible for detecting angular acceleration or rotational movements. They are part of the vestibular apparatus and help maintain balance by detecting head rotations in three planes (pitch, yaw, and roll)."
The vestibular organ:,Reacts to pressure changes in the middle ear,Reacts to vibrations of the cochlea,Gives the impression of hearing,Reacts to linear/angular acceleration and gravity,3,"The vestibular organ, which includes the semicircular canals, saccule, and utricle, detects linear and angular acceleration as well as gravity, helping the body maintain balance and orientation."
What is understood by air-sickness?,An illness caused by an infection of the middle ear,An illness caused by reduced air pressure,"A sensory conflict within the vestibular system accompanied by nausea, vomiting, and fear",An illness caused by evaporation of gases in the blood,2,"Air-sickness occurs when there is a sensory conflict between the information provided by the eyes and the vestibular system (inner ear), particularly during motion such as in-flight maneuvers. This can lead to symptoms like nausea, vomiting, and disorientation."
The cupula in the semicircular canal will be bent when a rotation begins. This is because:,The fluid (endolymph) within the semicircular canal lags behind the accelerated canal walls,The cupula will stay in place and give the correct impression,The fluid (endolymph) will precede the accelerated canal walls,The cupula will bend on constant angular speeds,0,"When the semicircular canals in the inner ear experience angular acceleration, the endolymph fluid inside the canals initially lags behind the movement of the canal walls, causing the cupula (a sensory structure within the canal) to bend. This bending stimulates hair cells and signals changes in rotational movement."
Excessive exposure to noise damages:,The eardrum,The sensitive membrane in the cochlea,The semicircular canals,The ossicles,1,"Excessive exposure to loud noise can damage the sensitive membrane (basilar membrane) in the cochlea, which is responsible for converting sound vibrations into electrical signals that the brain can interpret. Prolonged exposure to high-decibel sounds can lead to permanent hearing loss."
The semicircular canals of the inner ear monitor:,Movements with constant speeds,Relative speed and linear accelerations,Angular accelerations,Gravity,2,"The semicircular canals are responsible for detecting angular accelerations (rotational movements) of the head, such as turning or spinning. They help maintain balance and spatial orientation by sensing head rotations in three dimensions."
Which part of the vestibular apparatus is affected by changes in gravity and linear acceleration?,The semicircular canals,The cochlea,The sacculus and utriculus,The eustachian tube,2,The sacculus and utriculus are the parts of the vestibular apparatus responsible for detecting changes in gravity and linear acceleration. They contain otoliths that help detect shifts in the position of the head relative to gravity and movement in a straight line.
What causes conductive deafness?,Damage to the outer ear,Damage to the pinna,Damage to the ossicles or the eardrum,Damage to the middle ear,2,"Conductive deafness occurs when there is a problem in the outer or middle ear, typically due to damage to the ossicles (small bones) or the eardrum, which prevents sound from being properly conducted to the inner ear."
Presbycusis is an impairment of hearing due to:,Damage to the cochlea,Damage to the semicircular canals,Age,Smoking,2,Presbycusis is the age-related hearing loss that typically affects high-frequency sounds due to gradual degeneration of the cochlea and auditory pathways.
The vestibular apparatus detects .................. acceleration:,Linear,Angular and linear,Angular,+g,1,"The vestibular apparatus in the inner ear detects both angular accelerations (rotations) and linear accelerations (straight-line movements), contributing to balance and spatial orientation."
