QuestionText,Option0,Option1,Option2,Option3,CorrectOptionIndex,ExplanationText
Which of these is excluded from the movement area?,Buildings and other constructed facilities,The apron,Grass areas specified for aircraft use,Areas provided for aircraft maintenance,0,"The movement area is the manoeuvring area, the aprons and any part provided for aircraft maintenance. Buildings are not part of it."
Which area excludes the apron and any part used for aircraft maintenance?,The movement area,The manoeuvring area,The aeronautical part,The runway strip,1,Take the apron and the maintenance areas out of the movement area and what is left is the manoeuvring area.
"Where is the pre-flight altimeter check made, and what is the maximum difference from the average elevation?","On the runway, 5 m","On the apron, 3 m or 10 ft","On the taxiway, 1 m","At the ARP, 10 m",1,"It belongs on the apron so it can be done before taxi clearance. No part may be more than 3 m, or 10 ft, from the average elevation."
What is the runway width for a code 4E runway?,30 m,45 m,60 m,23 m,1,"Code 4 gives 45 m for C, D and E. Only code 4F needs 60 m."
"For a code 4 precision approach runway, how far must the strip extend beyond the runway end, and how far each side of the centreline?","30 m beyond, 75 m each side","60 m beyond, 150 m each side","90 m beyond, 150 m each side","60 m beyond, 75 m each side",1,"At least 60 m beyond the end for code 2, 3 and 4, and 150 m each side of the centreline for a code 3 or 4 precision or non-precision runway."
"What is the minimum RESA length from the end of the strip, and the recommended length for a code 3 or 4 runway?","60 m minimum, 120 m recommended","90 m minimum, 240 m recommended","90 m minimum, 120 m recommended","120 m minimum, 240 m recommended",1,"Not less than 90 m is the standard. 240 m is the recommendation for code 3 and 4, and 120 m for code 1 and 2."
A clearway is added at the end of the runway. Which declared distance changes?,TORA,ASDA,TODA,LDA,2,"A clearway is not pavement, so only TODA grows, and it is capped at 1.5 times TORA."
A stopway is added at the end of the runway. Which declared distance changes?,ASDA,TODA,TORA,All four,0,"A stopway is pavement but only for stopping, so only ASDA grows."
The threshold is displaced 300 m down the runway. Which declared distance changes?,TORA and LDA,LDA only,TODA only,ASDA and LDA,1,Only LDA. The pavement before the new threshold can still be used for take-off.
"What is the required intersecting angle for a rapid exit taxiway, and the design turn-off speed in the wet on a code 4 runway?","25 to 45 degrees, preferably 30. 93 km/h or 50 kt","30 to 60 degrees, preferably 45. 65 km/h or 35 kt",Exactly 45 degrees. 93 km/h or 50 kt,"25 to 45 degrees, preferably 30. 65 km/h or 35 kt",0,"Not more than 45 degrees, not less than 25, preferably 30. The design speed in the wet is 93 km/h, which is 50 kt, on code 3 and 4 runways."
"How far from the runway centreline is the holding position for a precision CAT II runway, code 4?",75 m,90 m,60 m,107.5 m,1,"90 m for precision CAT I, II and III on code 3 and 4 runways. For code F that figure becomes 107.5 m."
What is the only type of fixed object normally permitted inside a runway strip?,Boundary fencing,"Visual aids such as PAPIs, and they must be frangible",Maintenance vehicles,ILS localiser aerials,1,"Visual aids are the exception, and they must be frangible. Everything else inside the stated dimensions is an obstacle."
